romdasSpikes,calcSpikes,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,,,
1222,18,3.97,9.802121351,0.063727636,-8.18E-21,0.063727636,-0.001009577,0.063727636,3.087071206,1.255272505,,,
1223,26,3.96,9.801276907,0.079591453,2.58E-19,0.079591453,-0.004355848,0.079591453,3.087426457,1.414973348,,,
1224,21,3.96,9.798008824,0.070435435,6.98E-19,0.070435435,0.007107797,0.070435435,3.087781418,1.322219295,,,
1228,25,3.97,9.79710614,0.073773787,9.37E-19,0.073773787,0.001799285,0.073773787,3.089198367,1.397940009,,,
1232,12,3.97,9.80172704,0.054217065,-1.53E-10,0.054217065,4.80E-10,0.054217065,3.090610708,1.079181246,,,
1232,24,3.99,9.802515852,0.094091027,2.22E-19,0.094091027,0.001182893,0.094091027,3.090610708,1.380211242,,,
1233,31,3.97,9.796884651,0.08961412,-1.47E-18,0.08961412,-0.000349667,0.08961412,3.090963077,1.491361694,,,
1239,44,3.98,9.802753331,0.122663507,1.72E-18,0.122663507,0.008614591,0.122663507,3.093071306,1.643452676,,,
1239,13,3.98,9.800993139,0.053509969,2.25E-10,0.053509969,-7.29E-11,0.053509969,3.093071306,1.113943352,,,
1249,29,3.99,9.799153203,0.094830728,-1.66E-18,0.094830728,-0.003926688,0.094830728,3.096562438,1.462397998,,,
1251,36,4,9.796118986,0.075106334,-4.83E-10,0.075106334,1.78E-10,0.075106334,3.09725731,1.556302501,,,
1255,22,4,9.798996956,0.096502649,-3.67E-19,0.096502649,0.00073326,0.096502649,3.098643726,1.342422681,,,
1257,34,4.01,9.799826879,0.082475398,4.22E-19,0.082475398,-0.004591793,0.082475398,3.099335278,1.531478917,,,
1257,21,4.01,9.800035884,0.072823384,-1.24E-09,0.072823384,-1.85E-10,0.072823384,3.099335278,1.322219295,,,
1258,28,4,9.803503712,0.077895291,1.17E-18,0.077895291,-0.006758366,0.077895291,3.099680641,1.447158031,,,
1262,28,4.01,9.795716067,0.109398649,-2.61E-19,0.109398649,-0.002286653,0.109398649,3.101059355,1.447158031,,,
1268,25,4.02,9.800078355,0.082259693,-2.27E-19,0.082259693,-0.010717473,0.082259693,3.103119254,1.397940009,,,
1275,18,4.02,9.798999189,0.057674003,-2.52E-10,0.057674003,-6.19E-10,0.057674003,3.105510185,1.255272505,,,
1282,34,4.04,9.796786766,0.070612012,5.61E-19,0.070612012,0.006562384,0.070612012,3.107888025,1.531478917,,,
1282,35,4.03,9.797849851,0.092478215,7.67E-19,0.092478215,0.013054487,0.092478215,3.107888025,1.544068044,,,
1293,24,4.05,9.799095633,0.073490367,-6.08E-19,0.073490367,0.001570255,0.073490367,3.111598525,1.380211242,,,
1295,24,4.05,9.798935876,0.054030228,-6.95E-10,0.054030228,4.97E-10,0.054030228,3.112269768,1.380211242,,,
1295,31,4.05,9.800578319,0.083155005,1.28E-10,0.083155005,-3.91E-11,0.083155005,3.112269768,1.491361694,,,
1296,31,4.05,9.80223795,0.099610002,-8.27E-19,0.099610002,-0.001627143,0.099610002,3.112605002,1.491361694,,,
1296,19,4.05,9.799162829,0.060181505,8.53E-11,0.060181505,-3.45E-10,0.060181505,3.112605002,1.278753601,,,
1299,29,4.05,9.800612918,0.097991066,-1.52E-19,0.097991066,0.000662926,0.097991066,3.113609151,1.462397998,,,
1299,32,4.05,9.797292609,0.109678104,-6.47E-19,0.109678104,0.000787361,0.109678104,3.113609151,1.505149978,,,
1302,34,4.05,9.798646479,0.095894535,-5.55E-20,0.095894535,0.000280445,0.095894535,3.114610984,1.531478917,,,
1303,16,4.06,9.800170681,0.059527739,-7.91E-10,0.059527739,-7.92E-10,0.059527739,3.114944416,1.204119983,,,
1304,17,4.06,9.801715312,0.068955801,2.17E-19,0.068955801,-0.001352377,0.068955801,3.115277591,1.230448921,,,
1305,24,4.06,9.801120989,0.052399977,4.06E-19,0.052399977,-0.004407866,0.052399977,3.115610512,1.380211242,,,
1314,29,4.07,9.800024831,0.08456015,1.42E-10,0.08456015,-2.77E-10,0.08456015,3.118595365,1.462397998,,,
1316,23,4.07,9.801017608,0.061737037,-2.13E-19,0.061737037,-0.003211136,0.061737037,3.119255889,1.361727836,,,
1316,46,4.07,9.797633964,0.123066549,8.08E-19,0.123066549,-0.001842037,0.123066549,3.119255889,1.662757832,,,
1317,14,4.07,9.797918252,0.054242087,1.23E-19,0.054242087,-0.001299865,0.054242087,3.119585775,1.146128036,,,
1318,31,4.08,9.79727442,0.094149636,-8.44E-11,0.094149636,2.51E-10,0.094149636,3.11991541,1.491361694,,,
1328,18,4.08,9.799399182,0.076476662,1.06E-19,0.076476662,0.000535156,0.076476662,3.123198075,1.255272505,,,
1329,26,4.09,9.800026726,0.069497136,-4.09E-19,0.069497136,0.00162287,0.069497136,3.123524981,1.414973348,,,
1329,21,4.09,9.799283199,0.067400193,7.41E-11,0.067400193,-1.50E-11,0.067400193,3.123524981,1.322219295,,,
1332,27,4.09,9.797365084,0.09327909,-1.26E-18,0.09327909,-0.004006475,0.09327909,3.124504225,1.431363764,,,
