romdasSpikes,calcSpikesY,calcSpikesX,calcSpikesZ,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,speed,gpsSpeed
1370,31,43,0,4.37,0.069423202,0.063334331,117.9877536,134.7899343,1.21E-08,1.27E-08,3.136720567,1.491361694,21.777,17.26978377
1148,12,15,0,3.88,0.050930881,0.036619737,67.83542205,76.3744907,6.10E-09,6.35E-09,3.059941888,1.079181246,33.70499,4.204527237
1395,13,17,0,4.16,0.056199272,0.041675705,73.21458465,54.49835472,9.26E-09,8.19E-09,3.144574208,1.113943352,36.46233,4.837513073
1141,17,6,0,3.87,0.062559983,0.046374877,52.06360279,48.67502514,5.74E-09,5.96E-09,3.057285644,1.230448921,42.16384,6.684057207
909,11,9,0,3.6,0.05142605,0.037603111,62.22983495,66.33959082,4.71E-09,4.74E-09,2.958563883,1.041392685,41.40247,7.106954489
1615,28,12,0,4.42,0.079878633,0.064289867,64.41395001,62.13863793,6.37E-09,5.91E-09,3.208172527,1.447158031,38.55544,8.267498686
835,8,12,0,3.51,0.049001971,0.035908265,81.13254855,63.25815358,7.33E-09,5.29E-09,2.921686475,0.903089987,41.89258,10.93866449
847,11,13,0,3.53,0.052168788,0.04153331,70.0405601,86.12471903,8.56E-09,1.11E-08,2.92788341,1.041392685,42.46286,14.64403264
1432,31,64,0,4.21,0.049178674,0.039865537,99.05357886,114.6284363,8.50E-09,9.84E-09,3.155943018,1.491361694,13.06747,391.9685238
1380,21,16,0,4.15,0.065402544,0.048572945,76.68241287,75.07734607,6.76E-09,6.71E-09,3.139879086,1.322219295,35.89953,18.47250875
1064,3,9,0,3.78,0.041755144,0.028976791,76.94615767,78.40163067,5.32E-09,4.57E-09,3.026941628,0.477121255,41.80688,18.34152371
926,18,8,0,3.62,0.059022691,0.048949738,60.23801968,65.48149411,5.04E-09,4.79E-09,2.966610987,1.255272505,44.97076,17.32157186
938,17,5,0,3.63,0.065967301,0.050407766,60.37652199,50.34081515,5.08E-09,4.60E-09,2.972202838,1.230448921,43.03088,13.67054784
1142,11,18,0,3.87,0.061133995,0.049038061,81.68146256,78.03968887,7.45E-09,7.19E-09,3.057666104,1.041392685,44.50549,13.79926758
1026,23,8,0,3.73,0.079173689,0.066241117,62.32721467,58.58539791,4.48E-09,3.89E-09,3.011147361,1.361727836,48.33286,16.04757986
1503,26,3,0,4.3,0.084062231,0.066533653,45.73154688,42.96885432,6.13E-09,5.13E-09,3.176958981,1.414973348,48.78257,15.40300868
903,15,6,0,3.59,0.053670641,0.041103045,54.30986252,50.91091757,4.85E-09,4.74E-09,2.95568775,1.176091259,36.22862,12.35921814
1059,15,10,0,3.77,0.049632935,0.043693172,56.51657139,60.66358152,5.03E-09,5.86E-09,3.02489596,1.176091259,33.8229,12.61051067
1349,4,11,0,4.13,0.043621698,0.031526066,56.74181197,52.41024558,6.44E-09,6.80E-09,3.13001195,0.602059991,31.82592,14.26748086
1586,10,7,0,4.39,0.047385613,0.033555515,50.6579626,51.48985957,5.47E-09,5.99E-09,3.200303183,1,30.45617,13.75253283
1232,6,14,0,3.97,0.045652316,0.02929742,71.70035031,63.86194453,6.91E-09,5.92E-09,3.090610708,0.77815125,35.60863,14.81987704
915,9,5,0,3.61,0.052378811,0.037136216,51.80541156,52.25295865,4.58E-09,4.96E-09,2.961421094,0.954242509,36.75521,17.00674311
1217,15,18,0,3.96,0.045945695,0.038786692,69.20641021,101.8062583,5.46E-09,8.36E-09,3.085290578,1.176091259,20.90912,10.09647732
1545,42,52,0,4.34,0.044718798,0.038194568,69.51112385,83.15496696,6.96E-09,8.33E-09,3.188928484,1.62324929,8.861539,17.41549091
1014,4,19,0,3.72,0.040019832,0.031372402,68.01977333,74.50526077,7.43E-09,7.40E-09,3.006037955,0.602059991,26.78216,13.93442165
981,12,12,0,3.69,0.043829813,0.039634965,68.12157677,52.9529729,7.27E-09,5.36E-09,2.991669007,1.079181246,34.6659,19.51347713
965,10,18,0,3.66,0.050547869,0.047647108,83.46497808,73.27658484,8.66E-09,7.34E-09,2.984527313,1,40.92606,20.64678615
718,8,7,0,3.38,0.044311257,0.037652499,54.79140091,50.41441898,5.23E-09,5.68E-09,2.856124444,0.903089987,46.07793,27.75912927
774,14,3,0,3.45,0.057551595,0.03909993,40.9664083,40.82254322,4.58E-09,4.79E-09,2.888740961,1.146128036,42.66309,18.36116972
1008,8,8,0,3.73,0.050544224,0.033191839,60.23719703,50.59102392,7.19E-09,5.81E-09,3.003460532,0.903089987,37.7953,16.51874047
1182,10,13,0,4.26,0.05841679,0.042591428,85.34131528,81.74923985,1.14E-08,1.24E-08,3.072617477,1,16.40748,24.90967946
3099,42,0,55,6.13,0.100973556,0.089293123,8.88E-08,8.80E-08,0.074621817,0.078386644,3.491221576,1.62324929,33.66368,22.04413145
1859,31,0,50,4.7,0.078370803,0.060090462,7.06E-08,8.03E-08,0.062452789,0.06018729,3.26927939,1.491361694,34.10904,21.20538682
2689,32,0,69,5.67,0.077074144,0.075367595,7.97E-08,8.79E-08,0.076494075,0.070830844,3.429590802,1.505149978,27.58628,14.50813833
2216,35,0,72,5.12,0.070014667,0.055392731,1.24E-07,1.41E-07,0.063610961,0.049060379,3.345569756,1.544068044,20.90134,356.3478601
2428,47,0,63,5.36,0.097346898,0.068148692,7.84E-08,7.89E-08,0.092934906,0.087054006,3.385248682,1.672097858,30.92467,20.32536514
2947,68,0,95,5.96,0.098964183,0.082972232,1.83E-07,2.81E-07,0.090377696,0.089067262,3.469380136,1.832508913,21.69672,86.39588414
2112,41,0,78,5,0.083799392,0.061556236,6.80E-08,7.68E-08,0.090452222,0.092944253,3.324693914,1.612783857,28.9433,17.1198637
